line_num,station_nm_chn,station_cd,station_nm_jpn,station_nm_eng,station_nm,fr_code,lat,lng
01호선,东豆川中央,1913,トンドゥチョン・チュンアン,Dongducheonjungang,동두천중앙,103,37.901885,127.056482
01호선,儀王,1710,ウィワン,Uiwang,의왕,P152,37.320852,126.948217
01호선,衿井,1708,クムジョン,Geumjeong,금정,P149,37.372221,126.943429
01호선,松内,1805,ソンネ,Songnae,송내,150,37.4876,126.753664
01호선,富川,1804,プチョン,Bucheon,부천,148,37.48405,126.782686
01호선,驿谷,1803,ヨッコク,Yeokgok,역곡,146,37.485178,126.811502
01호선,西东滩,1749,ソドンタン,Seodongtan,서동탄,P157-1,37.195504,127.051672
01호선,堂井,1729,タンジョン,Dangjeong,당정,P151,37.344285,126.948345
01호선,光明,1750,クァンミョン,Gwangmyeong,광명,P144-1,37.416182,126.884466
01호선,平泽,1724,ピョンテク,Pyeongtaek,평택,P165,36.990726,127.085159
01호선,西井里,1722,ソジョンニ,Seojeong-ri,서정리,P163,37.056496,127.052819
01호선,松炭,1721,ソンタン,Songtan,송탄,P162,37.075696,127.054301
01호선,乌山,1719,オサン,Osan,오산,P160,37.145885,127.06672
01호선,乌山大学,1718,オサンデ,Osan College,오산대,P159,37.168953,127.063197
01호선,洗马,1717,セマ,Sema,세마,P158,37.187533,127.04318
01호선,饼店,1716,ピョンチョム,Byeongjeom,병점,P157,37.207503,127.032731
01호선,东庙,0159,トンミョアプ,Dongmyo,동묘앞,127,37.572627,127.016429
01호선,南营,1002,ナミョン,Namyeong,남영,134,37.541021,126.9713
01호선,龙山,1003,ヨンサン,Yongsan,용산,135,37.529849,126.964561
01호선,鹭梁津,1004,ノリャンジン,Noryangjin,노량진,136,37.514219,126.942454
01호선,大方,1005,テバン,Daebang,대방,137,37.513342,126.926382
01호선,细柳,1715,セリュ,Seryu,세류,P156,37.245025,127.013222
01호선,秃山,1714,トッサン,Doksan,독산,P143,37.466613,126.889249
01호선,凤鸣,1401,ポンミョン,Bongmyeong,봉명,P170,36.801215,127.135763
